capacity,highlights,location,phone,url,venue_name
[70],"Indoor and outdoor spaces,Rentals included,Valet parking","66 Park Avenue East 38th Street,New York, NY 10016",[2128857017],https://www.wedding-spot.com/venue/1659/the-prince-kitano-hotel-new-york/,The Prince Kitano Hotel New York
[96],"Rentals included,Valet parking,Rentals included","333 South Service Road,Plainview, NY 11803",[5166946500],https://www.wedding-spot.com/venue/13316/four-points-by-sheraton-melville-long-island/,Four Points by Sheraton Melville Long Island
[70],"Rentals included,Valet parking,Rentals included","281 Church Street,New York, NY 10013",[9172373205],https://www.wedding-spot.com/venue/2623/bouley-botanical/,Bouley Botanical
[40],"Indoor and outdoor spaces,BYO,Valet parking","29 East Fourth Street,New York, NY 10003",[2127771089],https://www.wedding-spot.com/venue/8647/the-merchants-house-museum/,The Merchant's House Museum
[300],"Award winner,Indoor and outdoor spaces,Upgraded rentals included","723 Talamore Drive,Ambler, PA 19002",[2158379196],https://www.wedding-spot.com/venue/15206/talamore-country-club/,Talamore Country Club
[50],"Indoor and outdoor spaces,BYO,Valet parking","1087 Flushing Avenue #121,Brooklyn, NY 11237",[6462509949],https://www.wedding-spot.com/venue/12628/kave-brooklyn/,KAVE Brooklyn
[100],"BYO,BYO","20 West 23rd Street, 4th Floor,New York, NY 10010",[9178037270],https://www.wedding-spot.com/venue/11620/the-loft-in-flatiron/,The Loft in Flatiron
[40],"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Rentals included","365 Park Avenue South,New York, NY 10016",[2128940497],https://www.wedding-spot.com/venue/1704/hotel-giraffe/,Hotel Giraffe
[90],"Valet parking,Valet parking","151 Atlantic Avenue,Brooklyn, NY 11201",[7188581095],https://www.wedding-spot.com/venue/13545/beasts-bottles/,Beasts & Bottles
[700],"Indoor and outdoor spaces,Rentals included,Valet parking","480 North Gulph Road,King of Prussia, PA 19406",[4842381825],https://www.wedding-spot.com/venue/14555/sheraton-valley-forge/,Sheraton Valley Forge
[100],"Upgraded rentals included,Valet parking,Upgraded rentals included","138 5th Avenue,Brooklyn, NY 11217",[7182303805],https://www.wedding-spot.com/venue/5536/miti-miti-taperia/,Miti Miti Taperia
[50],"Rentals included,Valet parking,Rentals included","300 Schermerhorn Street,Brooklyn, NY 11217",[7186242211],https://www.wedding-spot.com/venue/14614/holiday-inn-brooklyn-downtown/,Holiday Inn Brooklyn Downtown
[80],"Indoor and outdoor spaces,Upgraded rentals included,Valet parking","181 West 10th Street,New York, NY 10014",[2124882624],https://www.wedding-spot.com/venue/14658/bobo/,Bobo
[100],"Valet parking,Valet parking","321 Chestnut Street,Philadelphia, PA 19106",[2159252800],https://www.wedding-spot.com/venue/6151/national-liberty-museum/,National Liberty Museum
[200],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","760 Langhorne Newtown Road,Langhorne, PA, PA 19047",[2157528996],https://www.wedding-spot.com/venue/3175/bridgetown-mill-house-restaurant-inn/,Bridgetown Mill House Restaurant & Inn
[120],"Valet parking,Valet parking","Private Estate,Address withheld for privacy",[9177659616],https://www.wedding-spot.com/venue/13608/premiere-event-space/,Premiere Event Space
[150],"Indoor and outdoor spaces,Indoor and outdoor spaces","2023 Old Lancaster Pike,Reading, PA 19608",[6107758855],https://www.wedding-spot.com/venue/11486/chapel-hill-golf-course/,Chapel Hill Golf Course
[100],"Rentals included,Valet parking,Rentals included"," 115 East 60th Street,New York, NY 10022",[2123398363],https://www.wedding-spot.com/venue/8648/amali/,Amali
[150],"BYO,BYO","509 Atlantic Avenue,Brooklyn, NY 11217",[9172670370],https://www.wedding-spot.com/venue/284/roulette/,Roulette
[230],"Indoor and outdoor spaces,Rentals included,Valet parking","3600 Sansom Street,Philadelphia, PA 19104",[2158236206],https://www.wedding-spot.com/venue/10136/the-inn-at-penn-a-hilton-hotel-philadelphia-university-city/,"The Inn at Penn, a Hilton Hotel Philadelphia University City"
[350],"Valet parking,Valet parking","East Greenville Fire Company ,East Greenville, PA 18041",[2156797875],https://www.wedding-spot.com/venue/4228/east-greenville-fire-hall-banquet-hall/,East Greenville Fire Hall Banquet Hall
[75],"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Valet parking","New York Skyports,2430 FDR Drive Service Road East",[2125346380],https://www.wedding-spot.com/venue/1634/yachts-for-all-seasons-lexington/,Yachts For All Seasons: Lexington
[250],"Indoor and outdoor spaces,BYO,Valet parking","225 North High Street,West Chester, PA 19380",[6106924800],https://www.wedding-spot.com/venue/5798/cultural-center-at-cchs/,Cultural Center at CCHS
[175],"Valet parking,Valet parking","65-67 Marple Avenue,Clifton Heights, PA 19018",[6106535463],https://www.wedding-spot.com/venue/3651/the-champagne-room-at-polish-american-citizens-association/,The Champagne Room at Polish American Citizens Association
[65],"BYO,Valet parking,BYO","250 West 77th Street,New York, NY 10024",[2127064480],https://www.wedding-spot.com/venue/13931/hotel-belleclaire/,Hotel Belleclaire
[45],"Indoor and outdoor spaces,Upgraded rentals included,Valet parking","3200 Chestnut Street,Philadelphia, PA 19104",[2672337488],https://www.wedding-spot.com/venue/4516/cozara/,coZara
[90],"Rentals included,Valet parking,Rentals included","1081 3rd Avenue,New York, NY 10065",[2128886333],https://www.wedding-spot.com/venue/8638/tonys-di-napoli-upper-east-side/,Tony's Di Napoli - Upper East Side
[80],"Indoor and outdoor spaces,Rentals included,Valet parking","20 East 76th Street,New York, NY 10021",[6463583626],https://www.wedding-spot.com/venue/13703/the-surrey-a-corinthia-hotel/,"The Surrey, A Corinthia Hotel"
[200],"Valet parking,Valet parking","6501 6th Avenue,Brooklyn, NY 11220",[7187457775],https://www.wedding-spot.com/venue/8651/first-evangelical-free-church-brooklyn/,"First Evangelical Free Church, Brooklyn"
[500],"Rentals included,Valet parking,Rentals included","1858 Street Road,Bensalem, PA 19020",[2152449777],https://www.wedding-spot.com/venue/3694/fishers-bensalem/,Fishers Bensalem
[200],"Indoor and outdoor spaces,Upgraded rentals included,Indoor and outdoor spaces","48 Country Club Road,Royersford, PA 19468",[6109480580],https://www.wedding-spot.com/venue/9801/spring-ford-country-club/,Spring Ford Country Club
[80],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","18 West 23rd Street,5th Floor",[6465585860],https://www.wedding-spot.com/venue/1789/flatiron-penthouse/,Flatiron Penthouse
[85],"Rentals included,Valet parking,Rentals included","462 Broadway, 4th Floor",[6462548579],https://www.wedding-spot.com/venue/1913/the-studio-at-28-crosby/,The Studio at 28 Crosby
[500],"Indoor and outdoor spaces,Rentals included,Valet parking","525 Arch Street,Philadelphia, PA 19106",[2154096639],https://www.wedding-spot.com/venue/3908/national-constitution-center/,National Constitution Center
[200],"Upgraded rentals included,Valet parking,Upgraded rentals included","200 West 44th Street,New York, NY 10036",[2122213800],https://www.wedding-spot.com/venue/2671/carmines-new-york/,Carmine's New York
[220],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","850 North Adams Street,Pottstown, PA 19464",[6103234520],https://www.wedding-spot.com/venue/1500/brookside-country-club-philadelphia/,Brookside Country Club - Philadelphia
[150],"BYO,Valet parking,BYO","329 Broome Street #1,New York, NY 10002",[9177712230],https://www.wedding-spot.com/venue/2680/whitebox-art-center/,Whitebox Art Center
[400],"Indoor and outdoor spaces,BYO,Valet parking","2945 College Drive,Bryn Athyn, PA 19009",[2677600744],https://www.wedding-spot.com/venue/5643/bryn-athyn-college/,Bryn Athyn College
[100],"Upgraded rentals included,Valet parking,Upgraded rentals included","220 North Gulph Road,King of Prussia, PA 19406",[6109921818],https://www.wedding-spot.com/venue/3931/ruths-chris-steakhouse-king-of-prussia/,Ruth's Chris Steakhouse - King of Prussia
[200],"BYO,Valet parking,BYO","972 Metropolitan Avenue,Brooklyn, NY 11211",[3472239102],https://www.wedding-spot.com/venue/11018/founders-lab-nyc/,Founders Lab NYC
[250],"Indoor and outdoor spaces,Rentals included,Valet parking","888 Plymouth Road,Plymouth Meeting, PA 19462",[6102724050],https://www.wedding-spot.com/venue/3885/the-1912-club/,The 1912 Club
[200],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","1160 South Krocks Road,Wescosville, PA 18106",[6103910648],https://www.wedding-spot.com/venue/12897/the-event-center-at-shepherd-hills/,The Event Center at Shepherd Hills
[150],"Valet parking,Valet parking","21 West 52nd Street,New York, NY 10019",[2125811400],https://www.wedding-spot.com/venue/8440/21-club/,21 Club
[125],"Rehearsal dinner and bridal shower,Valet parking,Rehearsal dinner and bridal shower","109 West 17th Street,New York, NY 10011",[2129297900],https://www.wedding-spot.com/venue/11586/havens-kitchen/,Haven's Kitchen
[175],"Valet parking,Valet parking","624-660 West 42nd Street,New York, NY 10036",[6468290170],https://www.wedding-spot.com/venue/5252/lucky-strike-new-york/,Lucky Strike New York
[125],"Valet parking,Valet parking","361 Metropolitan Avenue,Brooklyn, NY 11211",[3475296696],https://www.wedding-spot.com/venue/1602/knitting-factory-brooklyn/,Knitting Factory Brooklyn
[299],"BYO,Valet parking,BYO","547 W 26th Street,New York, NY 10001",[2122440015],https://www.wedding-spot.com/venue/1331/cedar-lake/,Cedar Lake
[150],"Rentals included,Valet parking,Rentals included","120 West 49th Street,New York, NY 10020",[2127595989],https://www.wedding-spot.com/venue/2096/oceana-restaurant/,Oceana Restaurant
[150],"Rentals included,Valet parking,Rentals included","207 West 36th Street,New York, NY 10018",[2125099464],https://www.wedding-spot.com/venue/289/delmonicos-kitchen/,Delmonico's Kitchen
[300],,"1 Pennsylvania Plaza,New York, NY 10119",[2122448866],https://www.wedding-spot.com/venue/10232/lugo-cucina-italiana/,Lugo Cucina Italiana
[200],"Rentals included,Valet parking,Rentals included","204 Varick Street,New York, NY 10014",[2126452577],https://www.wedding-spot.com/venue/8370/sounds-of-brazil/,Sounds of Brazil
[120],"Valet parking,Valet parking","105 Reade Street,New York, NY 10013",[2124061900],https://www.wedding-spot.com/venue/8335/sazon/,Sazon
[300],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","321 East 73rd Street,New York, NY 10021",[2129881733],https://www.wedding-spot.com/venue/1430/bohemian-benevolent-and-literary-association/,Bohemian Benevolent and Literary Association
[125],"BYO,Valet parking,BYO","800 North 23rd Street,Philadelphia, PA 19130",[6095030408],https://www.wedding-spot.com/venue/3650/ukrainian-league-of-philadelphia/,Ukrainian League of Philadelphia
[3000],"Indoor and outdoor spaces,Rentals included,Valet parking","777 Harrah's Blvd,Chester, PA 19013",[2679240459],https://www.wedding-spot.com/venue/3420/harrahs-philadelphia-casino-and-racetrack/,Harrah's Philadelphia Casino and Racetrack
[120],"Rentals included,Valet parking,Rentals included","44 Berry Street,Brooklyn, NY 11211",[7182186655],https://www.wedding-spot.com/venue/8720/mables-smokehouse-banquet-hall/,Mables Smokehouse & Banquet Hall
[550],"Rentals included,Valet parking,Rentals included","1605 Broadway,Between 48th & 49th Streets",[2123156040],https://www.wedding-spot.com/venue/5066/hyatt-regency-times-square/,Hyatt Regency Times Square
[350],"Rentals included,Valet parking,Rentals included","500 Stevens Drive,Philadelphia, PA 19113",[6105215900],https://www.wedding-spot.com/venue/814/delta-hotel-philadelphia-airport/,Delta Hotel Philadelphia Airport
[300],"BYO,Valet parking,BYO","11 East 26th Street,New York, NY 10010",[2125420566],https://www.wedding-spot.com/venue/1738/national-museum-of-mathematics/,National Museum of Mathematics
[50],"Valet parking,Valet parking","1700 Benjamin Franklin Parkway,Philadelphia, PA 19103",[2159818920],https://www.wedding-spot.com/venue/12611/the-windsor-suites/,The Windsor Suites
[150],"Valet parking,Valet parking","303 Madison Avenue,New York, NY 10017",[2128786306],https://www.wedding-spot.com/venue/2449/pera-mediterranean-brasserie/,Pera Mediterranean Brasserie
[1000],"Rentals included,Valet parking,Rentals included","One Arrivals Road,Terminal B",[2154926793],https://www.wedding-spot.com/venue/3476/philadelphia-airport-marriott/,Philadelphia Airport Marriott
[200],,"19 West Eighth Street,New York, NY 10011",[2124320200],https://www.wedding-spot.com/venue/9661/analogue/,Analogue
[250],"Indoor and outdoor spaces,Rentals included,Valet parking","1750 Sumneytown Pike,Kulpsville, PA 19443",[2153683800],https://www.wedding-spot.com/venue/4193/holiday-inn-lansdale/,Holiday Inn Lansdale
[125],"Rentals included,Valet parking,Rentals included","132 West 44th Street,New York, NY 10036",[6469265346],https://www.wedding-spot.com/venue/269/the-lambs-club/,The Lambs Club
[450],"Upgraded rentals included,Rentals included,Valet parking","90 Kunkle Drive,Easton, PA 18045",[6109230511],https://www.wedding-spot.com/venue/6509/the-eastonian/,The Eastonian
[100],"Valet parking,Valet parking","189 Bridge Street,Brooklyn, NY 11201",[6466414510],https://www.wedding-spot.com/venue/8600/amarachi/,Amarachi
[110],"Rentals included,Valet parking,Rentals included","316 East 53rd Street,New York, NY 10022",[2128580646],https://www.wedding-spot.com/venue/8358/212-steakhouse/,212 Steakhouse
[56],"BYO,Rentals included,Valet parking","53 Great Jones Street,New York, NY 10012",[9174844016],https://www.wedding-spot.com/venue/5060/il-buco-alimentari-vineria/,Il Buco Alimentari & Vineria
[140],"Rentals included,Valet parking,Rentals included","500 Cresson Boulevard,Phoenixville, PA 19460",[6106500880],https://www.wedding-spot.com/venue/3097/hilton-garden-inn-valley-forge-oaks/,Hilton Garden Inn Valley Forge/Oaks
[65],"Indoor and outdoor spaces,Upgraded rentals included,Valet parking","149 North 6th Street,Brooklyn, NY 11249",[7142345866],https://www.wedding-spot.com/venue/8709/midnights/,Midnights
[100],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","141 5th Avenue,Brooklyn, NY 11217",[7182303805],https://www.wedding-spot.com/venue/5356/bogota-latin-bistro/,Bogota Latin Bistro
[75],"Indoor and outdoor spaces,BYO,Valet parking","304 Bond Street,Brooklyn, NY 11231",[9176356417],https://www.wedding-spot.com/venue/8447/st-lydias/,St. Lydia's
[130],"Valet parking,Valet parking","Private Estate,Address withheld for privacy",[9177659616],https://www.wedding-spot.com/venue/13605/banquet-hall/,Banquet Hall
[120],"Valet parking,Valet parking","391 Sixth Avenue ,New York, NY 10014",[2129248001],https://www.wedding-spot.com/venue/8857/onegin/,Onegin
[400],"Valet parking,Valet parking","48 East 23rd Street,New York, NY 10010",[2129828802],https://www.wedding-spot.com/venue/11781/spin-new-york/,"SPiN, New York"
[100],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","36 Central Park South,New York, NY 10019",[2125216210],https://www.wedding-spot.com/venue/8617/park-lane-hotel/,Park Lane Hotel
[150],"Valet parking,Valet parking"," 317 East Houston Street,New York, NY 10002",[2126736270],https://www.wedding-spot.com/venue/9308/parkside-lounge/,Parkside Lounge
[120],,"135 West 41st Street,New York, NY 10036",[2122780988],https://www.wedding-spot.com/venue/11254/arena-event-space/,Arena Event Space
[100],"Rentals included,Valet parking,Rentals included","348 Flatbush Avenue,Brooklyn, NY 11238",[7182300221],https://www.wedding-spot.com/venue/8659/frannys/,Franny's
[170],"Rentals included,Valet parking,Rentals included","660 Madison Avenue, 9th Floor ,New York, NY 10011",[2128332207],https://www.wedding-spot.com/venue/9296/freds-at-barneys-new-york/,Freds at Barneys New York
[500],"Indoor and outdoor spaces,BYO,Valet parking","39 Avenue of the Americas,New York, NY 10013",[6468331934],https://www.wedding-spot.com/venue/18098/hilton-garden-inn-new-york-tribeca/,Hilton Garden Inn New York/Tribeca
[100],"Rentals included,Rentals included","15 West 39th Street,New York, NY 10018",[2122448888],https://www.wedding-spot.com/venue/11583/slc-conference-center/,SLC Conference Center
[500],,"219 South Broad Street,Philadelphia, PA 19107",[2157325500],https://www.wedding-spot.com/venue/17122/cambria-hotel-philadelphia-downtown-center-city/,Cambria Hotel Philadelphia Downtown - Center City
[200],,"107 South 17th Avenue,Coatesville, PA 19320",[6103842035],https://www.wedding-spot.com/venue/4198/lutheran-church-of-the-good-shepherd/,Lutheran Church of the Good Shepherd
[250],"Upgraded rentals included,Rentals included,Valet parking","49 West 64th Street,New York, NY 10023",[2123310313],https://www.wedding-spot.com/venue/8675/atlantic-grill-near-lincoln-center/,Atlantic Grill near Lincoln Center
[150],"Valet parking,Valet parking","Private Estate,Address withheld for privacy",[9177659616],https://www.wedding-spot.com/venue/13603/cocktail-hall/,Cocktail Hall
[200],"Indoor and outdoor spaces,Rentals included,Valet parking"," 2107 MacDade Boulevard,Holmes, PA 19043",[6105221100],https://www.wedding-spot.com/venue/818/heritage-ballrooms/,Heritage Ballrooms
[900],"BYO,Valet parking,BYO","1625 Ocean Avenue ,Brooklyn, NY 11230",[7183383800],https://www.wedding-spot.com/venue/1717/east-midwood-jewish-center/,East Midwood Jewish Center
[850],"Valet parking,Valet parking","Private Estate,Address withheld for privacy",[9177659616],https://www.wedding-spot.com/venue/13609/auditorium/,Auditorium
[250],,"363 Greenwich Street,New York, NY 10013",[2122448866],https://www.wedding-spot.com/venue/10230/american-cut-tribeca/,American Cut Tribeca
[60],"Rentals included,Valet parking,Rentals included","31 West 21st Street,New York, NY 10010",[9172373205],https://www.wedding-spot.com/venue/2622/bouley-at-home/,Bouley at Home
[150],"Valet parking,Valet parking","234 West 42nd Street,New York, NY 10036",[2125129600],https://www.wedding-spot.com/venue/3160/madame-tussauds-new-york/,Madame Tussauds New York
[200],"BYO,BYO","278 Spring Street,New York, NY 10013",[2126911303],https://www.wedding-spot.com/venue/9805/new-york-city-fire-museum/,New York City Fire Museum
[360],"Rentals included,Valet parking,Rentals included","4509 Island Avenue ,Philadelphia, PA 19153",[2159374507],https://www.wedding-spot.com/venue/4263/doubletree-by-hilton-philadelphia-airport/,DoubleTree by Hilton Philadelphia Airport
[90],"Valet parking,Valet parking","668 Amsterdam Avenue ,New York, NY 10025",[9177532700],https://www.wedding-spot.com/venue/8622/talias-steakhouse-bar/,Talia's Steakhouse & Bar
[60],"BYO,Valet parking,BYO","547 West 27th Street, Suite 300,New York, NY 10001",[3234661835],https://www.wedding-spot.com/venue/8591/unarthodox/,Unarthodox
[150],"Valet parking,Valet parking","1256 2nd Street Pike,Southampton, PA 18966",[2153647795],https://www.wedding-spot.com/venue/3583/old-school-meetinghouse/,Old School Meetinghouse
[140],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","447 Lexington Avenue ,New York, NY 10017",[2122869819],https://www.wedding-spot.com/venue/8998/davios-northern-italian-steakhouse-new-york/,Davio's Northern Italian Steakhouse New York
[220],"Rentals included,Valet parking,Rentals included","85 10th Avenue,New York, NY 10011",[6462780800],https://www.wedding-spot.com/venue/1425/del-posto/,Del Posto
[250],,"109 East 56th Street,New York, NY 10022",[2122448866],https://www.wedding-spot.com/venue/10229/american-cut-midtown/,American Cut Midtown
[45],"Rentals included,Valet parking,Rentals included","37 Barrow Street,New York, NY 10014",[2122555416],https://www.wedding-spot.com/venue/8573/duet-restaurant-bar/,Duet Restaurant & Bar
[40],,"283 Lexington Avenue,New York, NY 10035",[2126834353],https://www.wedding-spot.com/venue/11059/soldiers-sailors-marines-coast-guard-airmens-club-inc/,"Soldiers', Sailors', Marines', Coast Guard & Airmen's Club, Inc."
[300],"Upgraded rentals included,Valet parking,Upgraded rentals included","450 Park Ave South,New York, NY 10016",[2125321519],https://www.wedding-spot.com/venue/8581/ps-450/,PS 450
[100],"Rentals included,Valet parking,Rentals included","905 1st Avenue,New York, NY 10022",[9176189774],https://www.wedding-spot.com/venue/9327/ethos-gallery-51st/,Ethos Gallery 51st
[350],"Valet parking,Valet parking","160 Central Park West,New York, NY 10023",[6317772244],https://www.wedding-spot.com/venue/2308/landmark-on-the-park/,Landmark on The Park
[75],"BYO,Valet parking,BYO","5 North Village Avenue,Lionville, PA 19353",[6103639726],https://www.wedding-spot.com/venue/12874/1756-uwchlan-meeting-house/,1756 Uwchlan Meeting House
[150],"Valet parking,Valet parking","545 West 25th Street,New York, NY 10001",[5515743194],https://www.wedding-spot.com/venue/1912/glasshouse-chelsea/,Glasshouse Chelsea
[600],"Indoor and outdoor spaces,Indoor and outdoor spaces","2 Wyckoff Avenue,Brooklyn, NY 11237",[5163517331],https://www.wedding-spot.com/venue/9846/house-of-yes/,House of Yes
[1000],"Indoor and outdoor spaces,BYO,Valet parking","325 Park Avenue,New York, NY 10022",[2123780246],https://www.wedding-spot.com/venue/2151/st-bartholomews-church/,St. Bartholomew's Church
[260],"BYO,Upgraded rentals included,Rentals included","2049 Waynesborough Road,Paoli, PA 19301",[6102133097],https://www.wedding-spot.com/venue/11698/anthony-wayne-house/,Anthony Wayne House
[800],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","171 East Drive,Brooklyn, NY 11225",[7184620010],https://www.wedding-spot.com/venue/13592/lakeside-brooklyn/,Lakeside Brooklyn
[1000],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","3260 South Street,Philadelphia, PA 19104",[2158983024],https://www.wedding-spot.com/venue/863/penn-museum/,Penn Museum
[165],"Indoor and outdoor spaces,Rentals included,Valet parking","25 East Broadway Port,Jefferson, NY 11777",[6319285200],https://www.wedding-spot.com/venue/9254/danfords-hotel-marina-spa-port-jefferson/,"Danfords Hotel, Marina & Spa, Port Jefferson"
[150],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","71 West 35th Street,New York, NY 10001",[9176050363],https://www.wedding-spot.com/venue/11822/monarch-rooftop-indoor-lounge/,Monarch Rooftop & Indoor Lounge
[200],"Rentals included,Rentals included","1 United Nations Plaza,New York, NY 10017",[2127581234],https://www.wedding-spot.com/venue/11795/one-un-new-york/,ONE UN New York
[100],"Indoor and outdoor spaces,BYO,Valet parking","244 South 3rd Street,Philadelphia, PA 19106",[2158804150],https://www.wedding-spot.com/venue/3421/powel-house-garden/,Powel House & Garden
[100],"Award winner,Indoor and outdoor spaces,BYO","755 River Road,Erwinna, PA 18920",[6102948303],https://www.wedding-spot.com/venue/3495/sand-castle-winery/,Sand Castle Winery
[110],"Valet parking,Valet parking","Historic Chapel,500 25th Street",[7187687300],https://www.wedding-spot.com/venue/9069/green-wood-cemetery-not-accepting-any-bookings-as-of-now/,Green-wood Cemetery( Not accepting any bookings as of now)
[180],"Indoor and outdoor spaces,Rentals included,Valet parking","600 South Ocean Avenue,Patchogue, NY 11772",[6316548997],https://www.wedding-spot.com/venue/12109/lombardis-on-the-bay/,Lombardi's On The Bay
[140],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","50 Sweetwater Road,Glen Mills, PA 19342",[6104594711],https://www.wedding-spot.com/venue/11890/the-inn-at-grace-winery/,The Inn at Grace Winery
[225],"Indoor and outdoor spaces,Rentals included,Valet parking","901 Willow Lane ,Macungie, PA 18062",[4842245488],https://www.wedding-spot.com/venue/5596/brookside-country-club/,Brookside Country Club
[185],"Award winner,Indoor and outdoor spaces,BYO","1853 Wrightstown Road,Newtown, PA 18940",[2154936500],https://www.wedding-spot.com/venue/3092/crossing-vineyards-winery/,Crossing Vineyards & Winery
[100],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","210 West Washington Square,Philadelphia, PA 19106",[2672383651],https://www.wedding-spot.com/venue/11910/talulas-garden/,Talula's Garden
[200],"Award winner,BYO,Valet parking","770 Mount Moro Road,Villanova, PA 19085",[6105274280],https://www.wedding-spot.com/venue/3060/appleford-estate/,Appleford Estate
[220],"Indoor and outdoor spaces,Rentals included,Valet parking","1 Craighead Road,Hidden Valley, PA 15502",[8144438000],https://www.wedding-spot.com/venue/948/hidden-valley-resort/,Hidden Valley Resort
[300],"BYO,Valet parking,BYO","100 North 5th Street Highway,Reading, PA 19601",[6103723700],https://www.wedding-spot.com/venue/6665/abraham-lincoln-events/,Abraham Lincoln Events
[180],"Indoor and outdoor spaces,BYO,Indoor and outdoor spaces","611 Siegfriedale Road,Kutztown, PA 19530",[6106831400],https://www.wedding-spot.com/venue/10650/rodale-institute/,Rodale Institute
[110],"Rentals included,Valet parking,Rentals included","225 South 8th Street,Philadelphia, PA 19106",[2159222446],https://www.wedding-spot.com/venue/1986/the-morris-house/,The Morris House
[200],"Indoor and outdoor spaces,BYO,Rentals included","515 Painter Road,Media, PA 19063",[6102133097],https://www.wedding-spot.com/venue/11697/tyler-arboretum/,Tyler Arboretum
[130],"Valet parking,Valet parking","143 Myrtle Avenue,Havertown, PA 19083",[6104464958],https://www.wedding-spot.com/venue/10095/the-historic-grange-estate/,The Historic Grange Estate
[250],"BYO,Rentals included,Valet parking","450 S. Easton Road,Glenside, PA 19038",[2155172579],https://www.wedding-spot.com/venue/3593/grey-towers-castle/,Grey Towers Castle
[140],"Rentals included,Valet parking,Rentals included","12 East 12th Street,New York, NY 10003",[2126204020],https://www.wedding-spot.com/venue/13761/gotham-bar-and-grill/,Gotham Bar and Grill
[150],"Rentals included,Rentals included","140 East 27th St # A,New York, NY 10016",[9173281823],https://www.wedding-spot.com/venue/9863/stone-creek-bar-and-lounge/,Stone Creek Bar and Lounge
[115],,"88 Madison Avenue,corner of 29th Street at The James New York - NoMad",[2122448866],https://www.wedding-spot.com/venue/10231/scarpetta/,Scarpetta
[100],"Valet parking,Valet parking","236 West 78th Street,New York, NY 10024",[2125950850],https://www.wedding-spot.com/venue/12713/stand-up-ny/,Stand Up NY
[120],"Upgraded rentals included,Rentals included,Valet parking","233 West 49th Street ,Between Broadway & 8th Ave",[2125059909],https://www.wedding-spot.com/venue/8585/e-e-grill-house/,E&E Grill House
[900],"Upgraded rentals included,Rentals included,Valet parking","55 Wall Street,New York, NY 10005",[6467230826],https://www.wedding-spot.com/venue/5078/cipriani-wall-street/,Cipriani Wall Street
[240],"Indoor and outdoor spaces,Rentals included,Valet parking","1830 West Main Street,Route 25",[6315481209],https://www.wedding-spot.com/venue/1301/hotel-indigo-east-end/,Hotel Indigo East End
[120],"BYO,Valet parking,BYO"," 1501 Broadway,Brooklyn, NY 11221",[9174492084],https://www.wedding-spot.com/venue/14595/image/,IMAGE
[110],"Indoor and outdoor spaces,Rentals included,Valet parking","186 Grand Street,New York, NY 10013",[2122261600],https://www.wedding-spot.com/venue/13093/gelso-grand/,Gelso & Grand
[324],"Award winner,Indoor and outdoor spaces,Upgraded rentals included","80 Browns River Road,Sayville, NY 11782",[6315891888],https://www.wedding-spot.com/venue/2752/lands-end/,Land's End
[200],"Rentals included,Valet parking,Rentals included","400 Second Street Pike,Southampton, PA 18966",[2153644983],https://www.wedding-spot.com/venue/819/maggios-ballroom-at-hampton-square/,Maggio's Ballroom at Hampton Square
[325],"Indoor and outdoor spaces,Rentals included,Valet parking","415 West Willow Grove Ave,Philadelphia, PA 19118",[2152476001],https://www.wedding-spot.com/venue/3409/philadelphia-cricket-club/,Philadelphia Cricket Club
[160],"BYO,Valet parking,BYO","18-20 Flushing Avenue,Ridgewood, NY 11385",[9175968997],https://www.wedding-spot.com/venue/5249/the-vander-ende-onderdonk-house/,The Vander Ende - Onderdonk House
[180],"Indoor and outdoor spaces,Rentals included,Valet parking","2750 Egypt Road,Audubon, PA 19403",[6103829300],https://www.wedding-spot.com/venue/3093/the-club-at-shannondell/,The Club at Shannondell
[140],"Upgraded rentals included,Rentals included,Valet parking","King of Prussia Mall ,205 Mall Boulevard",[6109923322],https://www.wedding-spot.com/venue/3050/maggianos-king-of-prussia-banquets/,Maggiano's King of Prussia Banquets
[350],"Indoor and outdoor spaces,BYO,Valet parking","275 Swamp Road,Newtown, PA 18940",[2158601859],https://www.wedding-spot.com/venue/11104/tyler-gardens/,Tyler Gardens
[150],"BYO,Valet parking,BYO","53 Prospect Park West,Brooklyn, NY 11215",[3472526677],https://www.wedding-spot.com/venue/12214/brooklyn-society-for-ethical-culture/,Brooklyn Society for Ethical Culture
[400],"Indoor and outdoor spaces,BYO,Valet parking","1919 E Passyunk Ave.,Philadelphia, PA 19148",[2155743574],https://www.wedding-spot.com/venue/3091/shana-heidorn/,Shana Heidorn
